question,image_id,question_id
Is he wearing glasses?,1,1
Is there a fire?,1,2
is he running?,2,3
Is this a carpark?,2,4
is he sitting?,3,5
Is this old man angry?,3,6
is he wearing blue clothes,4,7
is he indoors?,4,8
is the wall pink?,5,9
Are there any windows in the picture?,5,10
is this bed blue?,6,11
Are they eating?,6,12
Does he wear white?,7,13
Does he sitting?,7,14
Are they in a car?,8,15
is he sawing chains?,8,16
is he sawing chains?,9,17
Are they in a car?,9,18
Are they in a car?,10,19
are they outside?,10,20
Are they wear glasses?,11,21
is he empty handed?,11,22
Are the walls of the room painted pink?,12,23
Does he sitting?,12,24
does he wear glasses?,13,25
Are the walls of the room painted pink?,13,26
Are they in a car?,14,27
Are there two police officers?,14,28
Does he wear black?,15,29
is the wall pink?,15,30
is the car pink?,16,31
is he indoors?,16,32
Does the man looks happy?,17,33
Did he open his eyes?,17,34
is he in the park?,18,35
is he along?,18,36
are there windows in this picture?,19,37
Is the person in the picture running?,19,38
Does the person in the picture look surprised?,20,39
is this person in the car?,20,40
does this person have brown hair?,21,41
is this person in the room now?,21,42
is the color of this room orange?,22,43
is the person in the picture sitting?,22,44
Is anyone dancing in the picture?,23,45
Are the windows open in the picture?,23,46
Are there multiple people in the picture?,24,47
Are all these people kids?,24,48
Are people sitting in the picture?,25,49
Are the walls of the room painted blue?,25,50
Are there any plants in the picture?,26,51
Are they studying?,26,52
Do you see any person wearing spectacles in this picture?,27,53
Can you see love in this picture?,27,54
are there 2 people in this picture?,28,55
Is the person in the picture not wearing clothes?,28,56
is the person in the picture holding something?,29,57
are they in the room?,29,58
does he wear a hat?,30,59
Are there windows on the wall in the picture?,30,60
is the person in the picture driving>,31,61
does he wear a hat?,31,62
Is anyone dancing in the picture?,32,63
Is anyone running in the picture?,32,64
is anyone sitting in the picture?,33,65
is there anyone standing in the picture?,33,66
Does the person in the picture open their mouth?,34,67
is the person in the picture driving?,34,68
are there windows in the picture?,35,69
is there only one person here?,35,70
is there a table in the picture?,36,71
do they wear hats?,36,72
Is color of the curtains red?,37,73
do they wear hats?,37,74
Is there only one person in the picture?,38,75
Is the person in the picture sitting?,38,76
Is the person in the picture wearing a white coat?,39,77
